57 57 3
-500 -500 0  -399.845 -500 0  -319.722 -500 0  -255.623 -500 0  -204.343 -500 0  -163.32 -500 0  -130.501 -500 0  -104.246 -500 0  -83.2423 -500 0  -66.4392 -500 0  -52.9966 -500 0  -42.2426 -500 0  -33.6394 -500 0  -26.7568 -500 0  -21.2507 -500 0  -16.8459 -500 0  -13.322 -500 0  -10.5029 -500 0  -8.24761 -500 0  -6.44338 -500 0  -5 -500 0  -4.25 -500 0  -3.5 -500 0  -2.75 -500 0  -2 -500 0  -1.5 -500 0  -1 -500 0  -0.5 -500 0  0 -500 0  0.5 -500 0  1 -500 0  1.5 -500 0  2 -500 0  2.75 -500 0  3.5 -500 0  4.25 -500 0  5 -500 0  7.65148 -500 0  10.8333 -500 0  14.6514 -500 0  19.2332 -500 0  24.7313 -500 0  31.329 -500 0  39.2463 -500 0  48.747 -500 0  60.1479 -500 0  73.829 -500 0  90.2463 -500 0  109.947 -500 0  133.588 -500 0  161.957 -500 0  196 -500 0  236.851 -500 0  285.873 -500 0  344.699 -500 0  415.29 -500 0  500 -500 0  
-500 -399.845 0  -399.845 -399.845 0  -319.722 -399.845 0  -255.623 -399.845 0  -204.343 -399.845 0  -163.32 -399.845 0  -130.501 -399.845 0  -104.246 -399.845 0  -83.2423 -399.845 0  -66.4392 -399.845 0  -52.9966 -399.845 0  -42.2426 -399.845 0  -33.6394 -399.845 0  -26.7568 -399.845 0  -21.2507 -399.845 0  -16.8459 -399.845 0  -13.322 -399.845 0  -10.5029 -399.845 0  -8.24761 -399.845 0  -6.44338 -399.845 0  -5 -399.845 0  -4.25 -399.845 0  -3.5 -399.845 0  -2.75 -399.845 0  -2 -399.845 0  -1.5 -399.845 0  -1 -399.845 0  -0.5 -399.845 0  0 -399.845 0  0.5 -399.845 0  1 -399.845 0  1.5 -399.845 0  2 -399.845 0  2.75 -399.845 0  3.5 -399.845 0  4.25 -399.845 0  5 -399.845 0  7.65148 -399.845 0  10.8333 -399.845 0  14.6514 -399.845 0  19.2332 -399.845 0  24.7313 -399.845 0  31.329 -399.845 0  39.2463 -399.845 0  48.747 -399.845 0  60.1479 -399.845 0  73.829 -399.845 0  90.2463 -399.845 0  109.947 -399.845 0  133.588 -399.845 0  161.957 -399.845 0  196 -399.845 0  236.851 -399.845 0  285.873 -399.845 0  344.699 -399.845 0  415.29 -399.845 0  500 -399.845 0  
-500 -319.722 0  -399.845 -319.722 0  -319.722 -319.722 0  -255.623 -319.722 0  -204.343 -319.722 0  -163.32 -319.722 0  -130.501 -319.722 0  -104.246 -319.722 0  -83.2423 -319.722 0  -66.4392 -319.722 0  -52.9966 -319.722 0  -42.2426 -319.722 0  -33.6394 -319.722 0  -26.7568 -319.722 0  -21.2507 -319.722 0  -16.8459 -319.722 0  -13.322 -319.722 0  -10.5029 -319.722 0  -8.24761 -319.722 0  -6.44338 -319.722 0  -5 -319.722 0  -4.25 -319.722 0  -3.5 -319.722 0  -2.75 -319.722 0  -2 -319.722 0  -1.5 -319.722 0  -1 -319.722 0  -0.5 -319.722 0  0 -319.722 0  0.5 -319.722 0  1 -319.722 0  1.5 -319.722 0  2 -319.722 0  2.75 -319.722 0  3.5 -319.722 0  4.25 -319.722 0  5 -319.722 0  7.65148 -319.722 0  10.8333 -319.722 0  14.6514 -319.722 0  19.2332 -319.722 0  24.7313 -319.722 0  31.329 -319.722 0  39.2463 -319.722 0  48.747 -319.722 0  60.1479 -319.722 0  73.829 -319.722 0  90.2463 -319.722 0  109.947 -319.722 0  133.588 -319.722 0  161.957 -319.722 0  196 -319.722 0  236.851 -319.722 0  285.873 -319.722 0  344.699 -319.722 0  415.29 -319.722 0  500 -319.722 0  
-500 -255.623 0  -399.845 -255.623 0  -319.722 -255.623 0  -255.623 -255.623 0  -204.343 -255.623 0  -163.32 -255.623 0  -130.501 -255.623 0  -104.246 -255.623 0  -83.2423 -255.623 0  -66.4392 -255.623 0  -52.9966 -255.623 0  -42.2426 -255.623 0  -33.6394 -255.623 0  -26.7568 -255.623 0  -21.2507 -255.623 0  -16.8459 -255.623 0  -13.322 -255.623 0  -10.5029 -255.623 0  -8.24761 -255.623 0  -6.44338 -255.623 0  -5 -255.623 0  -4.25 -255.623 0  -3.5 -255.623 0  -2.75 -255.623 0  -2 -255.623 0  -1.5 -255.623 0  -1 -255.623 0  -0.5 -255.623 0  0 -255.623 0  0.5 -255.623 0  1 -255.623 0  1.5 -255.623 0  2 -255.623 0  2.75 -255.623 0  3.5 -255.623 0  4.25 -255.623 0  5 -255.623 0  7.65148 -255.623 0  10.8333 -255.623 0  14.6514 -255.623 0  19.2332 -255.623 0  24.7313 -255.623 0  31.329 -255.623 0  39.2463 -255.623 0  48.747 -255.623 0  60.1479 -255.623 0  73.829 -255.623 0  90.2463 -255.623 0  109.947 -255.623 0  133.588 -255.623 0  161.957 -255.623 0  196 -255.623 0  236.851 -255.623 0  285.873 -255.623 0  344.699 -255.623 0  415.29 -255.623 0  500 -255.623 0  
-500 -204.343 0  -399.845 -204.343 0  -319.722 -204.343 0  -255.623 -204.343 0  -204.343 -204.343 0  -163.32 -204.343 0  -130.501 -204.343 0  -104.246 -204.343 0  -83.2423 -204.343 0  -66.4392 -204.343 0  -52.9966 -204.343 0  -42.2426 -204.343 0  -33.6394 -204.343 0  -26.7568 -204.343 0  -21.2507 -204.343 0  -16.8459 -204.343 0  -13.322 -204.343 0  -10.5029 -204.343 0  -8.24761 -204.343 0  -6.44338 -204.343 0  -5 -204.343 0  -4.25 -204.343 0  -3.5 -204.343 0  -2.75 -204.343 0  -2 -204.343 0  -1.5 -204.343 0  -1 -204.343 0  -0.5 -204.343 0  0 -204.343 0  0.5 -204.343 0  1 -204.343 0  1.5 -204.343 0  2 -204.343 0  2.75 -204.343 0  3.5 -204.343 0  4.25 -204.343 0  5 -204.343 0  7.65148 -204.343 0  10.8333 -204.343 0  14.6514 -204.343 0  19.2332 -204.343 0  24.7313 -204.343 0  31.329 -204.343 0  39.2463 -204.343 0  48.747 -204.343 0  60.1479 -204.343 0  73.829 -204.343 0  90.2463 -204.343 0  109.947 -204.343 0  133.588 -204.343 0  161.957 -204.343 0  196 -204.343 0  236.851 -204.343 0  285.873 -204.343 0  344.699 -204.343 0  415.29 -204.343 0  500 -204.343 0  
-500 -163.32 0  -399.845 -163.32 0  -319.722 -163.32 0  -255.623 -163.32 0  -204.343 -163.32 0  -163.32 -163.32 0  -130.501 -163.32 0  -104.246 -163.32 0  -83.2423 -163.32 0  -66.4392 -163.32 0  -52.9966 -163.32 0  -42.2426 -163.32 0  -33.6394 -163.32 0  -26.7568 -163.32 0  -21.2507 -163.32 0  -16.8459 -163.32 0  -13.322 -163.32 0  -10.5029 -163.32 0  -8.24761 -163.32 0  -6.44338 -163.32 0  -5 -163.32 0  -4.25 -163.32 0  -3.5 -163.32 0  -2.75 -163.32 0  -2 -163.32 0  -1.5 -163.32 0  -1 -163.32 0  -0.5 -163.32 0  0 -163.32 0  0.5 -163.32 0  1 -163.32 0  1.5 -163.32 0  2 -163.32 0  2.75 -163.32 0  3.5 -163.32 0  4.25 -163.32 0  5 -163.32 0  7.65148 -163.32 0  10.8333 -163.32 0  14.6514 -163.32 0  19.2332 -163.32 0  24.7313 -163.32 0  31.329 -163.32 0  39.2463 -163.32 0  48.747 -163.32 0  60.1479 -163.32 0  73.829 -163.32 0  90.2463 -163.32 0  109.947 -163.32 0  133.588 -163.32 0  161.957 -163.32 0  196 -163.32 0  236.851 -163.32 0  285.873 -163.32 0  344.699 -163.32 0  415.29 -163.32 0  500 -163.32 0  
-500 -130.501 0  -399.845 -130.501 0  -319.722 -130.501 0  -255.623 -130.501 0  -204.343 -130.501 0  -163.32 -130.501 0  -130.501 -130.501 0  -104.246 -130.501 0  -83.2423 -130.501 0  -66.4392 -130.501 0  -52.9966 -130.501 0  -42.2426 -130.501 0  -33.6394 -130.501 0  -26.7568 -130.501 0  -21.2507 -130.501 0  -16.8459 -130.501 0  -13.322 -130.501 0  -10.5029 -130.501 0  -8.24761 -130.501 0  -6.44338 -130.501 0  -5 -130.501 0  -4.25 -130.501 0  -3.5 -130.501 0  -2.75 -130.501 0  -2 -130.501 0  -1.5 -130.501 0  -1 -130.501 0  -0.5 -130.501 0  0 -130.501 0  0.5 -130.501 0  1 -130.501 0  1.5 -130.501 0  2 -130.501 0  2.75 -130.501 0  3.5 -130.501 0  4.25 -130.501 0  5 -130.501 0  7.65148 -130.501 0  10.8333 -130.501 0  14.6514 -130.501 0  19.2332 -130.501 0  24.7313 -130.501 0  31.329 -130.501 0  39.2463 -130.501 0  48.747 -130.501 0  60.1479 -130.501 0  73.829 -130.501 0  90.2463 -130.501 0  109.947 -130.501 0  133.588 -130.501 0  161.957 -130.501 0  196 -130.501 0  236.851 -130.501 0  285.873 -130.501 0  344.699 -130.501 0  415.29 -130.501 0  500 -130.501 0  
-500 -104.246 0  -399.845 -104.246 0  -319.722 -104.246 0  -255.623 -104.246 0  -204.343 -104.246 0  -163.32 -104.246 0  -130.501 -104.246 0  -104.246 -104.246 0  -83.2423 -104.246 0  -66.4392 -104.246 0  -52.9966 -104.246 0  -42.2426 -104.246 0  -33.6394 -104.246 0  -26.7568 -104.246 0  -21.2507 -104.246 0  -16.8459 -104.246 0  -13.322 -104.246 0  -10.5029 -104.246 0  -8.24761 -104.246 0  -6.44338 -104.246 0  -5 -104.246 0  -4.25 -104.246 0  -3.5 -104.246 0  -2.75 -104.246 0  -2 -104.246 0  -1.5 -104.246 0  -1 -104.246 0  -0.5 -104.246 0  0 -104.246 0  0.5 -104.246 0  1 -104.246 0  1.5 -104.246 0  2 -104.246 0  2.75 -104.246 0  3.5 -104.246 0  4.25 -104.246 0  5 -104.246 0  7.65148 -104.246 0  10.8333 -104.246 0  14.6514 -104.246 0  19.2332 -104.246 0  24.7313 -104.246 0  31.329 -104.246 0  39.2463 -104.246 0  48.747 -104.246 0  60.1479 -104.246 0  73.829 -104.246 0  90.2463 -104.246 0  109.947 -104.246 0  133.588 -104.246 0  161.957 -104.246 0  196 -104.246 0  236.851 -104.246 0  285.873 -104.246 0  344.699 -104.246 0  415.29 -104.246 0  500 -104.246 0  
-500 -83.2423 0  -399.845 -83.2423 0  -319.722 -83.2423 0  -255.623 -83.2423 0  -204.343 -83.2423 0  -163.32 -83.2423 0  -130.501 -83.2423 0  -104.246 -83.2423 0  -83.2423 -83.2423 0  -66.4392 -83.2423 0  -52.9966 -83.2423 0  -42.2426 -83.2423 0  -33.6394 -83.2423 0  -26.7568 -83.2423 0  -21.2507 -83.2423 0  -16.8459 -83.2423 0  -13.322 -83.2423 0  -10.5029 -83.2423 0  -8.24761 -83.2423 0  -6.44338 -83.2423 0  -5 -83.2423 0  -4.25 -83.2423 0  -3.5 -83.2423 0  -2.75 -83.2423 0  -2 -83.2423 0  -1.5 -83.2423 0  -1 -83.2423 0  -0.5 -83.2423 0  0 -83.2423 0  0.5 -83.2423 0  1 -83.2423 0  1.5 -83.2423 0  2 -83.2423 0  2.75 -83.2423 0  3.5 -83.2423 0  4.25 -83.2423 0  5 -83.2423 0  7.65148 -83.2423 0  10.8333 -83.2423 0  14.6514 -83.2423 0  19.2332 -83.2423 0  24.7313 -83.2423 0  31.329 -83.2423 0  39.2463 -83.2423 0  48.747 -83.2423 0  60.1479 -83.2423 0  73.829 -83.2423 0  90.2463 -83.2423 0  109.947 -83.2423 0  133.588 -83.2423 0  161.957 -83.2423 0  196 -83.2423 0  236.851 -83.2423 0  285.873 -83.2423 0  344.699 -83.2423 0  415.29 -83.2423 0  500 -83.2423 0  
-500 -66.4392 0  -399.845 -66.4392 0  -319.722 -66.4392 0  -255.623 -66.4392 0  -204.343 -66.4392 0  -163.32 -66.4392 0  -130.501 -66.4392 0  -104.246 -66.4392 0  -83.2423 -66.4392 0  -66.4392 -66.4392 0  -52.9966 -66.4392 0  -42.2426 -66.4392 0  -33.6394 -66.4392 0  -26.7568 -66.4392 0  -21.2507 -66.4392 0  -16.8459 -66.4392 0  -13.322 -66.4392 0  -10.5029 -66.4392 0  -8.24761 -66.4392 0  -6.44338 -66.4392 0  -5 -66.4392 0  -4.25 -66.4392 0  -3.5 -66.4392 0  -2.75 -66.4392 0  -2 -66.4392 0  -1.5 -66.4392 0  -1 -66.4392 0  -0.5 -66.4392 0  0 -66.4392 0  0.5 -66.4392 0  1 -66.4392 0  1.5 -66.4392 0  2 -66.4392 0  2.75 -66.4392 0  3.5 -66.4392 0  4.25 -66.4392 0  5 -66.4392 0  7.65148 -66.4392 0  10.8333 -66.4392 0  14.6514 -66.4392 0  19.2332 -66.4392 0  24.7313 -66.4392 0  31.329 -66.4392 0  39.2463 -66.4392 0  48.747 -66.4392 0  60.1479 -66.4392 0  73.829 -66.4392 0  90.2463 -66.4392 0  109.947 -66.4392 0  133.588 -66.4392 0  161.957 -66.4392 0  196 -66.4392 0  236.851 -66.4392 0  285.873 -66.4392 0  344.699 -66.4392 0  415.29 -66.4392 0  500 -66.4392 0  
-500 -52.9966 0  -399.845 -52.9966 0  -319.722 -52.9966 0  -255.623 -52.9966 0  -204.343 -52.9966 0  -163.32 -52.9966 0  -130.501 -52.9966 0  -104.246 -52.9966 0  -83.2423 -52.9966 0  -66.4392 -52.9966 0  -52.9966 -52.9966 0  -42.2426 -52.9966 0  -33.6394 -52.9966 0  -26.7568 -52.9966 0  -21.2507 -52.9966 0  -16.8459 -52.9966 0  -13.322 -52.9966 0  -10.5029 -52.9966 0  -8.24761 -52.9966 0  -6.44338 -52.9966 0  -5 -52.9966 0  -4.25 -52.9966 0  -3.5 -52.9966 0  -2.75 -52.9966 0  -2 -52.9966 0  -1.5 -52.9966 0  -1 -52.9966 0  -0.5 -52.9966 0  0 -52.9966 0  0.5 -52.9966 0  1 -52.9966 0  1.5 -52.9966 0  2 -52.9966 0  2.75 -52.9966 0  3.5 -52.9966 0  4.25 -52.9966 0  5 -52.9966 0  7.65148 -52.9966 0  10.8333 -52.9966 0  14.6514 -52.9966 0  19.2332 -52.9966 0  24.7313 -52.9966 0  31.329 -52.9966 0  39.2463 -52.9966 0  48.747 -52.9966 0  60.1479 -52.9966 0  73.829 -52.9966 0  90.2463 -52.9966 0  109.947 -52.9966 0  133.588 -52.9966 0  161.957 -52.9966 0  196 -52.9966 0  236.851 -52.9966 0  285.873 -52.9966 0  344.699 -52.9966 0  415.29 -52.9966 0  500 -52.9966 0  
