____________________________________________________________________________________________________________________________________________________________________________
|N of Finit Element|-------Ver 1------|-------Ver 2------|-------Ver 3------|-------Ver 4------|-------Ver 5------|-------Ver 6------|-------Ver 7------|-------Ver 8------|
____________________________________________________________________________________________________________________________________________________________________________
|                 0|                 0|                 1|                57|                58|              3249|              3250|              3306|              3307|
|                 1|                 1|                 2|                58|                59|              3250|              3251|              3307|              3308|
|                 2|                 2|                 3|                59|                60|              3251|              3252|              3308|              3309|
|                 3|                 3|                 4|                60|                61|              3252|              3253|              3309|              3310|
|                 4|                 4|                 5|                61|                62|              3253|              3254|              3310|              3311|
|                 5|                 5|                 6|                62|                63|              3254|              3255|              3311|              3312|
|                 6|                 6|                 7|                63|                64|              3255|              3256|              3312|              3313|
|                 7|                 7|                 8|                64|                65|              3256|              3257|              3313|              3314|
|                 8|                 8|                 9|                65|                66|              3257|              3258|              3314|              3315|
|                 9|                 9|                10|                66|                67|              3258|              3259|              3315|              3316|
|                10|                10|                11|                67|                68|              3259|              3260|              3316|              3317|
|                11|                11|                12|                68|                69|              3260|              3261|              3317|              3318|
|                12|                12|                13|                69|                70|              3261|              3262|              3318|              3319|
|                13|                13|                14|                70|                71|              3262|              3263|              3319|              3320|
|                14|                14|                15|                71|                72|              3263|              3264|              3320|              3321|
|                15|                15|                16|                72|                73|              3264|              3265|              3321|              3322|
|                16|                16|                17|                73|                74|              3265|              3266|              3322|              3323|
|                17|                17|                18|                74|                75|              3266|              3267|              3323|              3324|
|                18|                18|                19|                75|                76|              3267|              3268|              3324|              3325|
|                19|                19|                20|                76|                77|              3268|              3269|              3325|              3326|
|                20|                20|                21|                77|                78|              3269|              3270|              3326|              3327|
|                21|                21|                22|                78|                79|              3270|              3271|              3327|              3328|
|                22|                22|                23|                79|                80|              3271|              3272|              3328|              3329|
|                23|                23|                24|                80|                81|              3272|              3273|              3329|              3330|
|                24|                24|                25|                81|                82|              3273|              3274|              3330|              3331|
|                25|                25|                26|                82|                83|              3274|              3275|              3331|              3332|
|                26|                26|                27|                83|                84|              3275|              3276|              3332|              3333|
|                27|                27|                28|                84|                85|              3276|              3277|              3333|              3334|
