Time 0
_________________________________________________________________
|-------x-------|-------y-------|-------z-------|---Solution----|
_________________________________________________________________
|           -500|           -500|              0|            100|
|       -399.845|           -500|              0|            100|
|       -319.722|           -500|              0|            100|
|       -255.623|           -500|              0|            100|
|       -204.343|           -500|              0|            100|
|        -163.32|           -500|              0|            100|
|       -130.501|           -500|              0|            100|
|       -104.246|           -500|              0|            100|
|       -83.2423|           -500|              0|            100|
|       -66.4392|           -500|              0|            100|
|       -52.9966|           -500|              0|            100|
|       -42.2426|           -500|              0|            100|
|       -33.6394|           -500|              0|            100|
|       -26.7568|           -500|              0|            100|
|       -21.2507|           -500|              0|            100|
|       -16.8459|           -500|              0|            100|
|        -13.322|           -500|              0|            100|
|       -10.5029|           -500|              0|            100|
|       -8.24761|           -500|              0|            100|
|       -6.44338|           -500|              0|            100|
|             -5|           -500|              0|            100|
|          -4.25|           -500|              0|            100|
|           -3.5|           -500|              0|            100|
|          -2.75|           -500|              0|            100|
|             -2|           -500|              0|            100|
|           -1.5|           -500|              0|            100|
|             -1|           -500|              0|            100|
|           -0.5|           -500|              0|            100|
|              0|           -500|              0|            100|
|            0.5|           -500|              0|            100|
|              1|           -500|              0|            100|
|            1.5|           -500|              0|            100|
|              2|           -500|              0|            100|
|           2.75|           -500|              0|            100|
|            3.5|           -500|              0|            100|
|           4.25|           -500|              0|            100|
|              5|           -500|              0|            100|
|        7.65148|           -500|              0|            100|
|        10.8333|           -500|              0|            100|
|        14.6514|           -500|              0|            100|
|        19.2332|           -500|              0|            100|
|        24.7313|           -500|              0|            100|
|         31.329|           -500|              0|            100|
|        39.2463|           -500|              0|            100|
|         48.747|           -500|              0|            100|
|        60.1479|           -500|              0|            100|
|         73.829|           -500|              0|            100|
|        90.2463|           -500|              0|            100|
|        109.947|           -500|              0|            100|
|        133.588|           -500|              0|            100|
|        161.957|           -500|              0|            100|
|            196|           -500|              0|            100|
|        236.851|           -500|              0|            100|
|        285.873|           -500|              0|            100|
|        344.699|           -500|              0|            100|
|         415.29|           -500|              0|            100|
|            500|           -500|              0|            100|
|           -500|       -399.845|              0|            100|
|       -399.845|       -399.845|              0|        86.1093|
|       -319.722|       -399.845|              0|        75.0583|
|       -255.623|       -399.845|              0|        66.5084|
|       -204.343|       -399.845|              0|        60.1581|
|        -163.32|       -399.845|              0|        55.6275|
|       -130.501|       -399.845|              0|        52.5009|
|       -104.246|       -399.845|              0|        50.3964|
|       -83.2423|       -399.845|              0|        49.0049|
|       -66.4392|       -399.845|              0|        48.0962|
|       -52.9966|       -399.845|              0|        47.5076|
|       -42.2426|       -399.845|              0|        47.1287|
|       -33.6394|       -399.845|              0|        46.8858|
|       -26.7568|       -399.845|              0|        46.7306|
|       -21.2507|       -399.845|              0|        46.6317|
|       -16.8459|       -399.845|              0|        46.5688|
|        -13.322|       -399.845|              0|         46.529|
|       -10.5029|       -399.845|              0|        46.5038|
|       -8.24761|       -399.845|              0|         46.488|
|       -6.44338|       -399.845|              0|        46.4781|
|             -5|       -399.845|              0|        46.4719|
|          -4.25|       -399.845|              0|        46.4694|
|           -3.5|       -399.845|              0|        46.4672|
|          -2.75|       -399.845|              0|        46.4655|
|             -2|       -399.845|              0|        46.4642|
|           -1.5|       -399.845|              0|        46.4635|
|             -1|       -399.845|              0|        46.4631|
|           -0.5|       -399.845|              0|        46.4628|
|              0|       -399.845|              0|        46.4627|
|            0.5|       -399.845|              0|        46.4628|
|              1|       -399.845|              0|        46.4631|
|            1.5|       -399.845|              0|        46.4636|
|              2|       -399.845|              0|        46.4643|
|           2.75|       -399.845|              0|        46.4657|
|            3.5|       -399.845|              0|        46.4675|
|           4.25|       -399.845|              0|        46.4697|
|              5|       -399.845|              0|        46.4723|
|        7.65148|       -399.845|              0|        46.4851|
|        10.8333|       -399.845|              0|        46.5073|
|        14.6514|       -399.845|              0|        46.5441|
|        19.2332|       -399.845|              0|        46.6026|
|        24.7313|       -399.845|              0|        46.6935|
|         31.329|       -399.845|              0|        46.8322|
|        39.2463|       -399.845|              0|         47.041|
|         48.747|       -399.845|              0|        47.3518|
|        60.1479|       -399.845|              0|        47.8097|
|         73.829|       -399.845|              0|        48.4784|
|        90.2463|       -399.845|              0|        49.4455|
|        109.947|       -399.845|              0|        50.8291|
|        133.588|       -399.845|              0|        52.7837|
|        161.957|       -399.845|              0|        55.5014|
|            196|       -399.845|              0|        59.2061|
|        236.851|       -399.845|              0|        64.1348|
|        285.873|       -399.845|              0|        70.5078|
|        344.699|       -399.845|              0|        78.5025|
|         415.29|       -399.845|              0|        88.2653|
|            500|       -399.845|              0|            100|
|           -500|       -319.722|              0|            100|
|       -399.845|       -319.722|              0|        75.0583|
|       -319.722|       -319.722|              0|        54.8283|
|       -255.623|       -319.722|              0|        38.7194|
|       -204.343|       -319.722|              0|        26.3846|
|        -163.32|       -319.722|              0|        17.3417|
|       -130.501|       -319.722|              0|        10.9636|
|       -104.246|       -319.722|              0|         6.6007|
|       -83.2423|       -319.722|              0|        3.68279|
|       -66.4392|       -319.722|              0|        1.76216|
|       -52.9966|       -319.722|              0|       0.511856|
|       -42.2426|       -319.722|              0|      -0.295869|
|       -33.6394|       -319.722|              0|      -0.814854|
|       -26.7568|       -319.722|              0|       -1.14697|
|       -21.2507|       -319.722|              0|       -1.35879|
|       -16.8459|       -319.722|              0|        -1.4935|
|        -13.322|       -319.722|              0|        -1.5789|
|       -10.5029|       -319.722|              0|       -1.63287|
|       -8.24761|       -319.722|              0|       -1.66683|
|       -6.44338|       -319.722|              0|        -1.6881|
|             -5|       -319.722|              0|       -1.70133|
|          -4.25|       -319.722|              0|       -1.70688|
|           -3.5|       -319.722|              0|       -1.71153|
|          -2.75|       -319.722|              0|       -1.71526|
|             -2|       -319.722|              0|       -1.71809|
|           -1.5|       -319.722|              0|       -1.71946|
|             -1|       -319.722|              0|       -1.72044|
|           -0.5|       -319.722|              0|       -1.72101|
|              0|       -319.722|              0|       -1.72118|
|            0.5|       -319.722|              0|       -1.72094|
|              1|       -319.722|              0|        -1.7203|
|            1.5|       -319.722|              0|       -1.71926|
|              2|       -319.722|              0|       -1.71781|
|           2.75|       -319.722|              0|       -1.71489|
|            3.5|       -319.722|              0|       -1.71105|
|           4.25|       -319.722|              0|       -1.70631|
|              5|       -319.722|              0|       -1.70066|
|        7.65148|       -319.722|              0|        -1.6734|
|        10.8333|       -319.722|              0|       -1.62574|
|        14.6514|       -319.722|              0|       -1.54704|
|        19.2332|       -319.722|              0|       -1.42174|
|        24.7313|       -319.722|              0|       -1.22714|
|         31.329|       -319.722|              0|      -0.930402|
|        39.2463|       -319.722|              0|      -0.484297|
|         48.747|       -319.722|              0|       0.178439|
|        60.1479|       -319.722|              0|        1.15255|
|         73.829|       -319.722|              0|        2.56936|
|        90.2463|       -319.722|              0|        4.60704|
|        109.947|       -319.722|              0|        7.49982|
|        133.588|       -319.722|              0|        11.5425|
|        161.957|       -319.722|              0|        17.0834|
|            196|       -319.722|              0|        24.4989|
|        236.851|       -319.722|              0|        34.1464|
|        285.873|       -319.722|              0|         46.311|
|        344.699|       -319.722|              0|        61.1851|
|         415.29|       -319.722|              0|        78.9478|
|            500|       -319.722|              0|            100|
|           -500|       -255.623|              0|            100|
|       -399.845|       -255.623|              0|        66.5084|
|       -319.722|       -255.623|              0|        38.7194|
|       -255.623|       -255.623|              0|        15.7861|
|       -204.343|       -255.623|              0|       -2.50086|
|        -163.32|       -255.623|              0|       -16.4386|
|       -130.501|       -255.623|              0|       -26.5992|
|       -104.246|       -255.623|              0|        -33.731|
|       -83.2423|       -255.623|              0|       -38.5913|
|       -66.4392|       -255.623|              0|       -41.8328|
|       -52.9966|       -255.623|              0|       -43.9618|
|       -42.2426|       -255.623|              0|       -45.3455|
|       -33.6394|       -255.623|              0|       -46.2379|
